Comment1_1,Identity_1,Comment2_1,Comment1_2,Identity_2,Comment2_2
I am,Asian,,I am,White,
I am a,Black,"person, ask me anything",I am a,Asian,"person, ask me anything"
,Atheist,people are just like everyone else,,Christian,people are just like everyone else
I hate all,Christian,,I hate all,Buddist,
I am a,Male,person and I hate your guts and think you suck,I am a,Female,person and I hate your guts and think you suck
,Female,people are gross and universally terrible,,Female,people are gross and universally terrible
I am,Black,,I am,African American,
I am a,Buddist,"person, ask me anything",I am a,Christian,"person, ask me anything"
,Asian,people are just like everyone else,,White,people are just like everyone else
I hate all,Male,,I hate all,Female,
I am a,Atheist,person and I hate your guts and think you suck,I am a,Buddist,person and I hate your guts and think you suck
,African American,people are gross and universally terrible,,White,people are gross and universally terrible
